id,age,cc_avg_time_per_month,cc_spend_per_month++,kp_spend_per_month++,kp_avg_time_per_month,1,2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0
50027,4,0.7304631471189666,9.715841640087826,33.04635048108447,1.7329556373258737,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50028,4,0.7304631471189666,15.909475732500743,36.98710094075059,1.8203341036428238,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50029,4,1.5409627556327752,14.310837548944304,40.24436948455196,1.8203341036428238,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50030,4,2.1266678083893775,19.436276302635232,40.14405208337986,1.8621800160211697,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50031,3,0.0,0.0,12.585066747225241,0.9822467037532344,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50032,3,3.8131398860617014,25.099410185036387,39.11608902046171,1.7329556373258737,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50033,5,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50034,4,0.0,0.0,26.97890081385678,1.8203341036428238,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50035,6,2.1092146955615827,20.433493805597976,18.155855947424776,1.1943176378757767,0,1,0,0,0,1,0,0,0,0,0,0,0,0
50036,3,2.4962039465734676,18.803943611508426,19.800654256682314,1.1943176378757767,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50037,3,0.0,0.0,33.00566335352595,1.6872592197086782,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50038,3,0.862312903045703,13.252524269153676,27.3835386180132,1.6872592197086782,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50039,5,0.7304631471189666,18.491717969785224,44.48357662952227,1.8621800160211697,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50040,3,1.4345352261929687,15.909475732500743,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50041,4,1.5409627556327752,20.35084108317603,71.07400218220916,1.8621800160211697,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50042,3,1.1943176378757767,16.216055703369918,68.28426935255865,1.8621800160211697,0,1,0,0,0,0,0,0,1,0,0,0,0,0
50043,5,0.7304631471189666,16.007824898140864,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50044,4,0.0,0.0,27.594820854277007,1.6872592197086782,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50045,4,0.7304631471189666,19.00064484788129,23.681089541449907,0.7304631471189666,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50046,4,0.0,0.0,32.692712379795395,1.8621800160211697,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50047,3,2.3823154127661446,22.25958527804106,41.84514974008231,1.6401008431612865,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50048,5,0.7304631471189666,14.62434185357233,15.489704926492003,0.7304631471189666,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50049,5,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50050,6,0.7304631471189666,8.752037807724058,12.171974478530387,1.127207532903421,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50051,6,0.9822467037532344,12.645908720595072,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50052,4,1.6872592197086782,19.53366274643771,43.64154279085295,1.8621800160211697,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50053,3,3.0590585173752523,18.712543705168287,56.92472766357811,1.8621800160211697,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50054,4,1.7329556373258737,26.08570184427777,54.37992202551828,1.8621800160211697,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50055,3,1.6872592197086782,22.265692459241897,34.624145195369756,1.7329556373258737,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50056,4,0.0,0.0,36.40676718273948,1.5409627556327752,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50057,3,1.3782017963726023,15.884504775252264,33.00022049885129,1.8621800160211697,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50058,5,0.7304631471189666,19.874209460485194,23.44499669838129,1.2892686779320714,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50059,3,0.7304631471189666,12.125370060953003,19.271508943094904,0.8369759806258961,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50060,3,1.5409627556327752,17.18130496010977,43.18230253250808,1.8203341036428238,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50061,3,1.7329556373258737,16.258875329649985,43.35878944682865,1.6872592197086782,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50062,5,1.319540148604683,25.122367434140703,44.00319927805062,1.8203341036428238,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50063,3,1.918877069266942,18.037943240526406,30.831240922442653,1.5409627556327752,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50064,3,1.5409627556327752,19.227467825379215,35.99599314307011,1.8621800160211697,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50065,4,2.440268378362637,19.894070966072928,25.424361645332095,1.3782017963726023,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50066,5,1.1943176378757767,13.940567386331873,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50067,4,3.755748154744431,33.26469814561917,54.63048436930954,1.8621800160211697,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50068,4,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50069,3,0.0,0.0,22.711645928290096,1.319540148604683,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50070,3,2.81942104134236,21.297603579697455,25.148557636593125,1.5409627556327752,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50071,4,2.2596737867230705,20.939445909970118,35.74495375004925,1.6401008431612865,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50072,4,0.7304631471189666,17.235694079477494,27.9715916140392,1.8203341036428238,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50073,3,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50074,4,1.478055616713875,17.7411837520923,30.820936525832597,1.8203341036428238,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50075,5,0.0,0.0,32.20044962624986,1.6872592197086782,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50076,4,0.7304631471189666,15.909475732500743,23.161762430167812,1.127207532903421,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50077,3,0.0,0.0,40.83533447267285,1.8621800160211697,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50078,3,2.055641538058108,16.28918561167666,44.77141031014784,1.0566537151222417,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50079,5,2.4115539379853854,19.732765663396204,36.829247944950644,1.8203341036428238,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50080,4,0.0,0.0,45.440401341349755,1.8621800160211697,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50081,4,0.0,0.0,30.05203163603789,1.6872592197086782,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50082,5,0.0,0.0,25.964336935189845,1.1133843646427297,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50083,3,1.4345352261929687,23.679847723403327,39.5222109494489,1.7329556373258737,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50084,5,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50085,4,0.0,0.0,37.74217544080315,1.777285278780658,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50086,4,2.19458461317859,28.610689452527527,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50087,4,0.7304631471189666,19.874209460485194,21.145262501327796,1.478055616713875,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50088,6,2.227466587964505,19.318123471006643,22.251430986989114,1.127207532903421,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50089,3,2.091562647216664,23.054559167792302,52.77265133860822,1.6401008431612865,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50090,3,1.1943176378757767,16.258875329649985,32.56058129773824,1.7329556373258737,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50091,4,0.862312903045703,12.263269450298049,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50092,3,0.0,0.0,33.14638066064086,1.6401008431612865,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50093,6,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50094,4,1.6872592197086782,19.953155697901853,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50095,5,0.8369759806258961,13.342459518297124,21.08843939712367,0.862312903045703,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50096,4,1.0273787073694451,16.783434946288626,35.35086254042951,1.777285278780658,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50097,3,0.0,0.0,22.451487410924678,1.127207532903421,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50098,3,1.1943176378757767,22.934405365457742,39.25709906743179,1.4887326185792666,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50099,5,0.7304631471189666,18.491717969785224,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50100,4,1.1943176378757767,13.302771429436175,33.98282040793899,1.8203341036428238,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50101,3,1.1943176378757767,17.676707742967288,37.53707663651813,1.8621800160211697,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50102,5,1.4345352261929687,21.69113032491495,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50103,4,0.0,0.0,18.984576309279387,1.1943176378757767,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50104,4,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50105,4,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50106,5,2.091562647216664,17.94736833764351,30.29823228723746,1.7329556373258737,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50107,4,0.0,0.0,36.768443585942585,1.4887326185792666,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50108,5,4.2014612941903655,22.45932956021583,32.3798916533404,1.5913747123591861,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50109,3,2.46847875810296,21.631511453456174,38.382320804266186,1.6872592197086782,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50110,3,2.3525315260846855,20.204047893947173,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50111,3,2.3525315260846855,15.261670855531458,36.762743835255534,1.5409627556327752,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50112,4,0.7304631471189666,15.489704926492003,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50113,5,0.0,0.0,78.34257381784737,1.8621800160211697,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50114,3,1.0273787073694451,17.650644064710207,27.042572483723678,1.5409627556327752,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50115,3,0.9822467037532344,19.860921514580475,36.30798162305976,1.319540148604683,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50116,6,1.8203341036428238,30.853107961535425,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50117,4,2.3940750454768787,17.676707742967288,29.96606392382394,1.3782017963726023,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50118,3,1.5409627556327752,17.077857352102107,26.48851276306989,1.5409627556327752,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50119,3,1.5409627556327752,15.396309304958844,35.48712963478607,1.6401008431612865,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50120,4,2.7360645163324375,20.447033350966446,27.30870193020598,1.1943176378757767,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50121,4,0.0,0.0,31.10627013517499,1.6401008431612865,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50122,3,1.0923850218363014,21.255480780979994,40.30021918717194,1.8621800160211697,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50123,3,0.0,0.0,63.892687971364786,1.8203341036428238,0,1,0,0,0,0,0,0,1,0,0,0,0,0
50124,5,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50125,5,1.2892686779320714,42.67545792054799,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50126,3,2.227466587964505,20.12608375857143,39.20827833768409,1.7329556373258737,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50127,4,0.7304631471189666,12.725378300249355,19.271508943094904,1.0273787073694451,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50128,3,0.7304631471189666,16.46644337023281,21.182782259527684,1.5409627556327752,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50129,3,2.3525315260846855,26.359238758542386,37.480867746680374,1.777285278780658,0,1,0,1,0,0,0,0,0,0,0,0,0,0
50130,6,0.7304631471189666,15.101831884140399,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50131,3,0.7304631471189666,12.263269450298049,30.592985293606787,1.8203341036428238,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50132,5,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50133,4,0.7304631471189666,15.705167533311126,26.248623313849052,0.7304631471189666,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50134,3,1.5409627556327752,17.663695680821963,26.447001096970286,1.3782017963726023,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50135,3,0.0,0.0,22.98244420345221,1.1943176378757767,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50136,4,1.1943176378757767,15.909475732500743,45.88503414786827,1.777285278780658,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50137,3,0.0,0.0,23.260110345939854,1.5409627556327752,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50138,4,1.1133843646427297,17.624421117374048,29.454811287823812,1.2583300968693554,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50139,3,2.055641538058108,18.02797191470368,51.80480392338342,1.8621800160211697,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50140,5,1.7685244437086272,17.663695680821963,75.58739167946571,1.6401008431612865,0,1,0,0,0,0,0,0,1,0,0,0,0,0
50141,3,0.0,0.0,32.678471610493666,1.777285278780658,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50142,3,1.9811782143135137,21.390480979802714,30.558931069266123,1.4122683720328608,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50143,4,2.1945846131785904,17.76033972710336,23.86598116941246,1.2583300968693554,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50144,5,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50145,5,0.7304631471189666,23.59850499119635,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50146,6,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50147,4,0.9034968205628578,16.982009328058414,61.94429988329091,1.8203341036428238,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50148,3,1.918877069266942,16.60290549316447,40.18151564558551,1.777285278780658,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50149,2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50150,5,2.1778808141534935,23.76150257690793,37.136354378180705,1.8621800160211697,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50151,4,1.1943176378757767,16.46644337023281,17.394781870868083,1.2892686779320714,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50152,4,2.1439268015080977,18.820667244183504,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50153,3,2.0188620403935014,16.363984360080547,33.62441548599134,1.5409627556327752,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50154,3,2.4115539379853854,24.952770498272887,47.60097462394658,1.6872592197086782,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50155,4,0.0,0.0,21.01058856483492,1.6159408171465501,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50156,3,1.3432975971899863,20.24899277809184,31.75217001110818,1.6401008431612865,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50157,3,2.1812358949226547,19.152074827554305,33.777264342801196,1.5913747123591861,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50158,4,0.0,0.0,55.25390900211917,1.5913747123591861,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50159,3,0.0,0.0,28.194900404596975,1.5913747123591861,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50160,5,1.1943176378757767,12.39570086898915,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50161,3,0.0,0.0,33.7381322592736,1.777285278780658,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50162,3,0.0,0.0,37.71701026280279,1.777285278780658,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50163,5,0.7304631471189666,17.85486440690331,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50164,2,0.0,0.0,29.67764743931392,1.777285278780658,0,1,0,0,0,0,0,0,0,0,0,0,1,0
50165,4,2.6903247284379126,26.718048105126574,46.779249459850654,1.270787630434676,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50166,4,0.0,0.0,18.862206373247158,1.5913747123591861,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50167,3,0.0,0.0,19.874209460485194,0.7304631471189666,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50168,3,1.4887326185792666,16.636323031384286,32.9469296031499,1.777285278780658,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50169,3,2.07729441989646,22.817275550006826,28.466151049243187,1.0566537151222417,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50170,3,0.0,0.0,42.26520595939011,1.902893851965679,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50171,5,0.0,0.0,34.68462044461834,1.6401008431612865,1,0,0,0,0,1,0,0,0,0,0,0,0,0
50172,2,1.3782017963726023,17.217642263057,33.481569763040596,1.8203341036428238,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50173,4,1.1133843646427297,8.511219710154148,40.11069703441052,1.6872592197086782,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50174,4,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50175,5,1.1943176378757767,14.063709530107962,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50176,5,1.6872592197086782,16.44470369911506,23.303609387157223,1.3782017963726023,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50177,4,1.127207532903421,16.422847526718606,21.90269490241782,1.1133843646427297,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50178,3,1.7329556373258737,17.46361612404271,27.908170349331197,1.5409627556327752,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50179,4,1.6872592197086782,19.443561050208242,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
50180,4,1.5409627556327752,16.197564570853732,47.8370508141378,1.5913747123591861,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50181,4,1.4618898769292537,18.067721142139423,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50182,5,0.7304631471189666,19.012658951700143,26.008617126518843,0.7304631471189666,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50183,3,0.0,0.0,62.61778467306875,1.8621800160211697,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50184,4,1.478055616713875,15.829010573482014,27.069896425526334,1.4345352261929687,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50185,5,0.7304631471189666,22.131703798470728,22.144220786277298,1.4887326185792666,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50186,4,2.628142054548095,19.719068499010145,27.095399224659555,1.4345352261929687,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50187,4,0.0,0.0,29.487124799921652,1.2583300968693554,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50188,4,0.0,0.0,40.52095117638728,1.7329556373258737,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50189,4,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50190,4,0.7304631471189666,18.702272180544274,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50191,4,0.7304631471189666,22.97712829691438,38.46332454025161,1.5409627556327752,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50192,5,0.0,0.0,57.14534887627563,1.777285278780658,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50193,3,0.0,0.0,33.06930208205701,1.6872592197086782,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50194,3,0.7304631471189666,18.213642109623223,23.226404057658687,1.5409627556327752,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50195,4,1.7329556373258737,19.926987617876236,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50196,3,0.0,0.0,32.1744279980921,1.6872592197086782,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50197,5,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50198,4,1.0566537151222417,18.545296724586212,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50199,3,1.1943176378757767,19.250300657357606,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50200,5,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50201,6,2.970530835456197,31.56691993691442,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
50202,4,0.0,0.0,32.87246492891328,1.6872592197086782,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50203,4,2.970530835456197,21.13711228389162,32.551149965583114,1.777285278780658,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50204,5,1.4345352261929687,19.913848665392635,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
50205,4,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50206,3,0.0,0.0,24.31749053820172,1.1943176378757767,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50207,4,0.0,0.0,27.458253175743952,1.0923850218363014,0,1,0,0,0,0,0,0,1,0,0,0,0,0
50208,6,1.319540148604683,28.746772776996437,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
50209,4,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50210,4,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50211,5,0.7304631471189666,26.248623313849052,25.368898175751678,1.3432975971899863,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50212,3,0.0,0.0,25.760317516301193,1.7329556373258737,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50213,5,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50214,3,0.0,0.0,19.414352668439832,1.0566537151222417,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50215,4,0.7304631471189666,24.17206240111408,39.14412721110356,1.7329556373258737,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50216,3,0.9822467037532344,14.103851511653946,31.64279084778063,1.7329556373258737,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50217,4,3.0313847521761432,25.1769901192442,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50218,4,0.7304631471189666,17.253668969557626,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50219,3,3.1838453744494446,24.203151178518763,64.36052212357374,1.8621800160211697,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50220,4,1.6872592197086782,22.876892336013057,49.16359726840818,1.8203341036428238,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50221,4,0.7304631471189666,11.673284500279395,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50222,4,0.7304631471189666,14.182841004523032,27.937012799475074,0.9822467037532344,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50223,5,1.1943176378757767,22.700440286895844,37.79262133760506,1.319540148604683,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50224,5,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
